== Phase 1 ==
MEM: abs=16642998272 bytes
== Phase 2 ==
CPU: threads=12 util=0.66 duration=416s
[metrics] name=MD elapsed_s=44.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=45.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=46.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=47.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=48.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=49.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=50.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=51.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=52.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=53.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=54.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=55.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=56.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=57.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=58.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=59.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=60.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=61.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=62.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=63.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=64.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=65.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=66.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=67.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=68.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=69.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=70.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=71.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=72.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=73.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=74.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=75.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=76.0 alloc_bytes=16642998272 VmRSS_kib=16255744
